image,cve_id,package,n_scanners,scanners
python-3.9-slim-bookworm,CVE-2013-4392,libsystemd0,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2023-31437,libsystemd0,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2023-31438,libsystemd0,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2023-31439,libsystemd0,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2026-40228,libsystemd0,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2024-12133,libtasn1-6,3,"grype,scout,trivy"
python-3.9-slim-bookworm,CVE-2025-13151,libtasn1-6,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2025-69720,libtinfo6,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2023-50495,libtinfo6,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2025-6141,libtinfo6,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2023-50387,libudev1,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2023-50868,libudev1,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2026-29111,libudev1,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2025-4598,libudev1,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2026-40225,libudev1,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2026-40226,libudev1,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2026-4105,libudev1,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2013-4392,libudev1,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2023-31437,libudev1,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2023-31438,libudev1,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2023-31439,libudev1,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2026-40228,libudev1,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2024-28085,libuuid1,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2026-27456,libuuid1,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2026-3184,libuuid1,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2022-0563,libuuid1,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2025-14104,libuuid1,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2023-4641,login,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2007-5686,login,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2023-29383,login,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2024-56433,login,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2024-28085,mount,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2026-27456,mount,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2026-3184,mount,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2022-0563,mount,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2025-14104,mount,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2025-69720,ncurses-base,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2023-50495,ncurses-base,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2025-6141,ncurses-base,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2025-69720,ncurses-bin,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2023-50495,ncurses-bin,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2025-6141,ncurses-bin,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2025-15467,openssl,3,"grype,scout,trivy"
python-3.9-slim-bookworm,CVE-2026-31789,openssl,3,"grype,scout,trivy"
python-3.9-slim-bookworm,CVE-2024-6119,openssl,3,"grype,scout,trivy"
